Timestamp,Event,Seq_Num,Message
1733251773.6494904,Connection Established,0,"Target IP: 127.0.0.1, Target Port: 4000"
1733251775.4498038,Packet Sent,1,test
1733251775.4508615,ACK Received,2,
1733251776.0834186,Packet Sent,2,test
1733251776.0844994,ACK Received,3,
1733251776.7862353,Packet Sent,3,test
1733251776.7873387,ACK Received,4,
1733251777.6552343,Packet Sent,4,test
1733251777.6566138,ACK Received,5,
1733251779.3241072,Client Terminated,-1,Keyboard Interrupt
